Date,Open
May-16-2021,14.44
May-15-2021,15.56
May-14-2021,15.02
May-13-2021,14.53355259
May-12-2021,17.05
May-11-2021,16.18
May-10-2021,16.8
May-09-2021,17.24
May-08-2021,17.55
May-07-2021,17.4
May-06-2021,18.31
May-05-2021,16.74073353
May-04-2021,18.26
May-03-2021,18.49
May-02-2021,17.08
May-01-2021,17
Apr-30-2021,16.53
Apr-29-2021,17.24
Apr-28-2021,17.8
Apr-27-2021,15.1
Apr-26-2021,13.47
Apr-25-2021,12.9
Apr-24-2021,14.17489825
Apr-23-2021,12.12
Apr-22-2021,12.61
Apr-21-2021,13.02
Apr-20-2021,12.89
Apr-19-2021,16.02338087
Apr-18-2021,15.41
Apr-17-2021,14.82
Apr-16-2021,15.36
Apr-15-2021,15.31
Apr-14-2021,16.14
Apr-13-2021,16.31
Apr-12-2021,17.11
Apr-11-2021,17.26533183
Apr-10-2021,16.2
Apr-09-2021,16.93
Apr-08-2021,16.6
Apr-07-2021,18.68
Apr-06-2021,15.59
Apr-05-2021,16.63
Apr-04-2021,15.31
Apr-03-2021,13.38
Apr-02-2021,12.9
Apr-01-2021,10.52
Mar-31-2021,10.07
Mar-30-2021,10.32
Mar-29-2021,10.2
Mar-28-2021,10.56
Mar-27-2021,8.3
Mar-26-2021,7.09
Mar-25-2021,7.06
Mar-24-2021,8.04
Mar-23-2021,8.87
Mar-22-2021,9.57
Mar-21-2021,8.33
Mar-20-2021,8.94
Mar-19-2021,7.49
Mar-18-2021,7.633633216
Mar-17-2021,7.097363207
Mar-16-2021,6.451814874
Mar-15-2021,6.509412244
Mar-14-2021,6.982463131
Mar-13-2021,5.984494609
Mar-12-2021,6.360207267
Mar-11-2021,6.530411294
Mar-10-2021,4.791696024
Mar-09-2021,4.57237122
Mar-08-2021,4.301693147
Mar-07-2021,4.080011831
Mar-06-2021,4.012012504
Mar-05-2021,4.25304609
Mar-04-2021,4.188324143
Mar-03-2021,4.067333492
Mar-02-2021,4.219873001
Mar-01-2021,4.200573869
Feb-28-2021,3.861584665
Feb-27-2021,3.950133466
Feb-26-2021,3.652060055
Feb-25-2021,3.622499365
Feb-24-2021,3.264776086
Feb-23-2021,3.636003208
Feb-22-2021,4.206822454
Feb-21-2021,4.136049146
Feb-20-2021,4.587956922
Feb-19-2021,4.214597923
Feb-18-2021,4.105216458
Feb-17-2021,4.172392467
Feb-16-2021,3.978118632
Feb-15-2021,4.617438506
Feb-14-2021,4.415589975
Feb-13-2021,4.616937317
Feb-12-2021,4.08938534
Feb-11-2021,3.711196208
Feb-10-2021,3.979494783
Feb-09-2021,3.746567226
Feb-08-2021,3.431395446
Feb-07-2021,3.691792569
Feb-06-2021,3.157748423
Feb-05-2021,2.812229338
Feb-04-2021,2.643577354
Feb-03-2021,2.36506543
Feb-02-2021,2.379398869
Feb-01-2021,2.271014156
Jan-31-2021,2.343639416
Jan-30-2021,2.312619648
Jan-29-2021,2.492879101
Jan-28-2021,2.082061551
Jan-27-2021,2.039132095
Jan-26-2021,2.102852117
Jan-25-2021,1.777847174
Jan-24-2021,1.82590853
Jan-23-2021,1.617986588
Jan-22-2021,1.469910171
Jan-21-2021,1.755651098
Jan-20-2021,1.836196383
Jan-19-2021,1.726835287
Jan-18-2021,1.728840728
Jan-17-2021,1.538115839
Jan-16-2021,1.564387588
Jan-15-2021,1.436001428
Jan-14-2021,1.414210012
Jan-13-2021,1.322782347
Jan-12-2021,1.26973343
Jan-11-2021,1.458286205
Jan-10-2021,1.540389226
Jan-09-2021,1.430617897
Jan-08-2021,1.403386005
Jan-07-2021,1.5102328
Jan-06-2021,1.485597145
Jan-05-2021,1.365943603
Jan-04-2021,1.315838077
Jan-03-2021,1.284514803
Jan-02-2021,1.36218521
Jan-01-2021,1.296461427
Dec-31-2020,1.265789363
Dec-30-2020,1.281751243
Dec-29-2020,1.431662851
Dec-28-2020,1.341895722
Dec-27-2020,1.450371923
Dec-26-2020,1.275557353
Dec-25-2020,1.379957915
Dec-24-2020,1.233069321
Dec-23-2020,1.571500812
Dec-22-2020,1.420935607
Dec-21-2020,1.424983891
Dec-20-2020,1.445502924
Dec-19-2020,1.472491378
Dec-18-2020,1.290628679
Dec-17-2020,1.31238011
Dec-16-2020,1.301613319
Dec-15-2020,1.258890874
Dec-14-2020,1.258564976
Dec-13-2020,1.192399561
Dec-12-2020,1.15887198
Dec-11-2020,1.26172962
Dec-10-2020,1.365532703
Dec-09-2020,1.327676308
Dec-08-2020,1.41816602
Dec-07-2020,1.504103756
Dec-06-2020,1.57857786
Dec-05-2020,1.543035195
Dec-04-2020,1.495890671
Dec-03-2020,1.445806822
Dec-02-2020,1.359904041
Dec-01-2020,1.426462339
Nov-30-2020,1.402790841
Nov-29-2020,1.364122964
Nov-28-2020,1.32147474
Nov-27-2020,1.377545985
Nov-26-2020,1.503373159
Nov-25-2020,1.642366479
Nov-24-2020,1.776911489
Nov-23-2020,1.659710829
Nov-22-2020,1.824421015
Nov-21-2020,1.716939476
Nov-20-2020,1.651830361
Nov-19-2020,1.470224208
Nov-18-2020,1.431094104
Nov-17-2020,1.263878855
Nov-16-2020,1.166854442
Nov-15-2020,1.156038088
Nov-14-2020,1.148294752
Nov-13-2020,1.050899606
Nov-12-2020,1.071559092
Nov-11-2020,1.150097783
Nov-10-2020,1.082483888
Nov-09-2020,1.198747998
Nov-08-2020,1.012974531
Nov-07-2020,1.059541556
Nov-06-2020,0.882181208
Nov-05-2020,0.771057744
Nov-04-2020,0.733217822
Nov-03-2020,0.776542321
Nov-02-2020,0.799490001
Nov-01-2020,0.835429854
Oct-31-2020,0.836703622
Oct-30-2020,0.882019704
Oct-29-2020,0.986853002
Oct-28-2020,1.077700654
Oct-27-2020,1.050313957
Oct-26-2020,1.044915901
Oct-25-2020,1.038827293
Oct-24-2020,1.054878044
Oct-23-2020,1.131359593
Oct-22-2020,1.109816158
Oct-21-2020,1.086187066
Oct-20-2020,1.158325956
Oct-19-2020,1.245704939
Oct-18-2020,1.179554922
Oct-17-2020,1.169816399
Oct-16-2020,1.325434215
Oct-15-2020,1.340817518
Oct-14-2020,1.336747117
Oct-13-2020,1.357694354
Oct-12-2020,1.37258429
Oct-11-2020,1.462047288
Oct-10-2020,1.281063697
Oct-09-2020,1.304292582
Oct-08-2020,1.198203352
Oct-07-2020,0.984008227
Oct-06-2020,1.239153859
Oct-05-2020,1.368594571
Oct-04-2020,1.461061317
Oct-03-2020,1.525486793
Oct-02-2020,1.539157562
Oct-01-2020,1.568227848
Sep-30-2020,1.6444045
Sep-29-2020,1.654339893
Sep-28-2020,1.528613613
Sep-27-2020,1.782309509
Sep-26-2020,1.878879857
Sep-25-2020,2.291243514
Sep-24-2020,1.805450076
Sep-23-2020,1.676910288
Sep-22-2020,1.733994949
Sep-21-2020,1.717704237
Sep-20-2020,1.71308498
Sep-19-2020,1.67948375
Sep-18-2020,1.732673117
Sep-17-2020,1.604276736
Sep-16-2020,1.313474978
Sep-15-2020,1.38856928
Sep-14-2020,1.282850804
Sep-13-2020,1.284890995
Sep-12-2020,1.246982089
Sep-11-2020,1.30804616
Sep-10-2020,1.259086147
Sep-09-2020,1.343638634
Sep-08-2020,1.255387908
Sep-07-2020,1.212898374
Sep-06-2020,1.388538718
Sep-05-2020,1.521503131
Sep-04-2020,1.663044503
Sep-03-2020,1.665149865
Sep-02-2020,1.69228828
Sep-01-2020,1.744848323
Aug-31-2020,1.638282567
Aug-30-2020,1.537097378
Aug-29-2020,1.64797731
Aug-28-2020,1.745763972
Aug-27-2020,1.930140325
Aug-26-2020,1.486406459
Aug-25-2020,1.503457353
Aug-24-2020,1.526299426
Aug-23-2020,1.505902445
Aug-22-2020,1.533161838
Aug-21-2020,1.508041982
Aug-20-2020,1.642675147
Aug-19-2020,1.661744132
Aug-18-2020,1.917004847
Aug-17-2020,1.607117008
Aug-16-2020,1.772673771
Aug-15-2020,1.612899979
Aug-14-2020,1.196425914
Aug-13-2020,0.852239266
Aug-12-2020,0.670563472
Aug-11-2020,0.652954568
Aug-10-2020,0.616143188
Aug-09-2020,0.602871372
Aug-08-2020,0.613334911
Aug-07-2020,0.601184018
Aug-06-2020,0.54529864
Aug-05-2020,0.518125148
Aug-04-2020,0.49623079
Aug-03-2020,0.476618457
Aug-02-2020,0.441946203
Aug-01-2020,0.499485176
Jul-31-2020,0.420606044
Jul-30-2020,0.445648565
Jul-29-2020,0.418179519
Jul-28-2020,0.407360144
Jul-27-2020,0.430407614
Jul-26-2020,0.399784009
Jul-25-2020,0.388364459
Jul-24-2020,0.371910883
Jul-23-2020,0.387198111
Jul-22-2020,0.364618375
Jul-21-2020,0.387414597
Jul-20-2020,0.388081534
Jul-19-2020,0.366939117
Jul-18-2020,0.40992084
Jul-17-2020,0.425594633
Jul-16-2020,0.39084895
Jul-15-2020,0.445151376
Jul-14-2020,0.431519096
Jul-13-2020,0.428602059
Jul-12-2020,0.451402612
Jul-11-2020,0.464884585
Jul-10-2020,0.506201404
Jul-09-2020,0.491329392
Jul-08-2020,0.469838117
Jul-07-2020,0.469882574
Jul-06-2020,0.496654805
Jul-05-2020,0.464012235
Jul-04-2020,0.528738491
Jul-03-2020,0.504309262
Jul-02-2020,0.44163781
Jul-01-2020,0.485065046
Jun-30-2020,0.557387285
Jun-29-2020,0.470355551
Jun-28-2020,0.463409306
Jun-27-2020,0.498574791
Jun-26-2020,0.531487045
Jun-25-2020,0.557394329
Jun-24-2020,0.426554794
Jun-23-2020,0.456252682
Jun-22-2020,0.44261844
Jun-21-2020,0.350181983
Jun-20-2020,0.412434016
Jun-19-2020,0.412611729
Jun-18-2020,0.296219457
Jun-17-2020,0.331106738
Jun-16-2020,0.374815743
Jun-15-2020,0.324658983
Jun-14-2020,0.328304308
Jun-13-2020,0.327510881
Jun-12-2020,0.285369626
Jun-11-2020,0.27590181
Jun-10-2020,0.271948413
Jun-09-2020,0.271776729
Jun-08-2020,0.254642591
Jun-07-2020,0.25816817
Jun-06-2020,0.261780486
Jun-05-2020,0.263723213
Jun-04-2020,0.252880721
Jun-03-2020,0.258280495
Jun-02-2020,0.258170603
Jun-01-2020,0.245770409
May-31-2020,0.246096109
May-30-2020,0.229906002
May-29-2020,0.233526654
May-28-2020,0.238926407
May-27-2020,0.249104215
May-26-2020,0.232423248
May-25-2020,0.225517046
May-24-2020,0.256681849
May-23-2020,0.258715282
May-22-2020,0.227569202
May-21-2020,0.244108036
May-20-2020,0.254640363
,
,
May 2020 to May 2021,3.634509158
